ecoli,ph,do,flow,a_t,w_t,turb
1.868056362,8.15,9.25,0.8,14.2,12.8,0.758154622
0.986771734,8.26,8.59,0.6,24.4,15,0.354108439
2.487986331,8.5,8.62,0.8,20.5,15.1,0.771587481
2.613418945,8.07,9.14,NA,22.3,18.6,0.870988814
2.937718444,7.91,9.84,0.55,5.8,6.7,1.093421685
2.286680969,7.89,7.53,0.5,17.9,17.7,1.025305865
2.051538391,8.12,7.83,0.9,22.9,19,1.10720997
2.41713941,8.2,6.25,0.6,20.6,21.3,0.980911938
1.981818607,7.99,9.04,0.3,16,12.1,0.53529412
1.544068044,8.23,8.43,0.2,26.2,15.5,0.212187604
2.613418945,8.34,8.38,0.25,20.5,15.8,0.829303773
1.945468585,7.92,7.82,0.45,18.4,20,0.041392685
1.773786445,7.89,7.31,0.4,17,17.7,-0.167491087
1.589949601,6.79,8.16,0.6,19.9,16.4,0.545307116
2.613418945,7.47,5.46,0.3,31.4,22.4,0.675778342
1.981818607,7.92,7.21,0.2,32.3,25.8,0.615950052
1.620136055,8.3,8,0.7,26.2,23.3,0.640481437
1.357934847,8.34,8.21,0.7,25.1,22.4,0.507855872
2.713658516,8.05,10.29,1.5,4.8,9.7,0.854306042
2.144885418,7.92,9.26,0.6,16,13.2,1.06069784
1.957128198,8.01,8.7,0.8,19.5,16,1.08278537
2.171141151,8.29,9.18,0.7,22.5,17.4,1.127104798
2.688775655,7.81,7.58,0.5,12.3,15.5,0.670245853
2.713658516,7.97,7.33,0.6,17.8,18,0.701567985
2.286680969,7.6,7.43,0.8,18.7,21.6,1.45484486
2.031812271,7.94,8.46,0.55,14.9,16.3,0.63748973
2.252610341,7.37,6.33,0.3,16.2,13,0.46686762
2.321805484,7.86,6.24,0.2,18.9,18.8,0.519827994
1.911690159,8.34,10.24,0.85,26.6,16.7,0.403120521
1.922206277,8.37,10.31,0.6,19.9,15.1,0.462397998
2.018284308,8.44,10.02,0.7,21.1,17.6,0.071882007
0.301029996,8,11.51,1.2,26.3,9.9,0.527629901
3.238773502,8.31,5.01,0.8,24.1,22.1,1.017033339
2.537567257,8.28,8.09,0.8,18.4,17.7,1.004321374
2.087426457,7.69,4.5,0.1,37.1,26,0.558708571
2.738384124,7.25,2.87,0.05,25.5,21.1,0.764176132
2.440121603,7.53,3.69,0.3,25.3,20.7,0.5289167
2.394626764,7.53,7.24,0.3,22.2,17.9,1.292256071
2.537567257,7.79,6.46,0.2,26.8,21.6,1.033423755
2.812110841,7.79,6.85,0.15,23,20.3,1.100370545
2.487986331,8.1,8.69,0.2,25.6,22.4,0.356025857
2.055760465,8.3,9.62,0.4,23.6,20.3,0.350248018
2.861534411,8.29,11.06,0.15,6.6,7.31,0.501059262
3.397940009,7.87,7.14,0.4,12.8,14.5,0.961421094
3.150326536,7.91,6.34,0.15,18.1,17.8,0.572871602
3.113843119,7.6,7.64,0.6,17.8,21.2,0.981365509
2.267171728,7.53,6.38,1.2,29.5,21.1,1.374748346
2.347134783,7.7,5.2,0.8,22.3,21.8,1.517195898
2.937718444,8.06,8.61,0.8,30.1,23.6,1.477121255
1.865103975,8,9.32,0.3,16.8,18,0.761175813
2.351603072,8.26,8.77,0.6,34.5,23,0.72916479
3.238773502,8.36,9.16,1,28.8,24.1,0.893761762
2.812110841,8.14,10.18,NA,20.8,16.7,0.626340367
2.146438135,7.74,7.49,0.3,18.5,18.2,0.029383778
2.638688887,8.18,8.05,0.25,21.3,21.1,0.285557309
2.176091259,NA,8.41,1.08,35.6,23,1.294466226
1.838219222,9.03,9.7,0.7,24.9,21.1,0.746634199
2.321805484,8.44,9.16,1.7,19.7,16.4,0.711807229
1.922206277,8.28,9.48,NA,16.8,17.3,0.675778342
2.376941757,8.48,8.86,0.6,19.2,18.8,0.08278537
3.019614716,8.35,8.12,1.2,25.8,22.4,0.971275849
2.663795122,7.99,7.75,0.35,13,14.6,0.597695186
2.440121603,8.31,9.03,0.05,24,20.3,0.46686762
2.372727941,8.18,7.76,0.6,22.4,23.4,0.921166051
1.79518459,8.11,9.46,NA,18.6,15.1,0.499687083
2.10002573,7.96,6.45,0,20.4,16.5,0.630427875
3.397940009,7.42,7.05,1.4,19.8,20,1.523746467
0.301029996,7.56,12.07,0.8,7,4.95,0.294466226
1.830588669,8.42,9.88,0.2,27.8,26.8,0.82672252
2.394626764,8.49,9.39,0.5,22.3,19.3,0.877946952
2.812110841,7.65,5.93,NA,13.7,14.8,1.033423755
2.138618434,7.9,6.04,0.6,25.1,17.5,0.622214023
